Company,Role,Link
Astroscale,"シニアセールスエンジニア/ Senior Sales Engineer Tokyo, Sumida-ku Learn More",https://astroscale.bamboohr.com/careers/468
AAC Clyde Space,Project Manager – Delft,https://www.aac-clyde.space/jobs/project-manager-delft
AAC Clyde Space,"Project Manager – Delft The role is to lead allocated projects throughout their lifecycle, delivering successfully against objectives in terms of cost, quality and timescales. The type of projects allocated will be production and development. This will involve working with the engineering team, production processes, inventory management and supply chain. Find out more",https://www.aac-clyde.space/jobs/project-manager-delft
